Maturity>>>,1 Month,3 Month,6 Month,1 Year,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years
Apr-53,,,,2.36,,2.51,2.62,,2.83,3.08,
May-53,,,,2.48,,2.72,2.87,,3.05,3.18,
Jun-53,,,,2.45,,2.74,2.94,,3.11,3.21,
Jul-53,,,,2.38,,2.62,2.75,,2.93,3.12,
Aug-53,,,,2.28,,2.58,2.80,,2.95,3.10,
Sep-53,,,,2.20,,2.56,2.71,,2.87,3.07,
Oct-53,,,,1.79,,2.23,2.43,,2.66,2.95,
Nov-53,,,,1.67,,2.20,2.42,,2.68,2.95,
Dec-53,,,,1.66,,2.07,2.32,,2.59,2.89,
Jan-54,,,,1.41,,1.89,2.17,,2.48,2.80,
Feb-54,,,,1.14,,1.63,2.04,,2.47,2.72,
Mar-54,,,,1.13,,1.59,1.93,,2.37,2.61,
Apr-54,,,,0.96,,1.54,1.87,,2.29,2.60,
May-54,,,,0.85,,1.56,1.92,,2.37,2.66,
Jun-54,,,,0.82,,1.53,1.92,,2.38,2.64,
Jul-54,,,,0.84,,1.47,1.85,,2.30,2.57,
Aug-54,,,,0.88,,1.49,1.90,,2.36,2.58,
Sep-54,,,,1.03,,1.60,1.96,,2.38,2.60,
Oct-54,,,,1.17,,1.72,2.02,,2.43,2.61,
Nov-54,,,,1.14,,1.75,2.09,,2.48,2.65,
Dec-54,,,,1.21,,1.81,2.16,,2.51,2.67,
Jan-55,,,,1.39,,1.99,2.32,,2.61,2.75,
Feb-55,,,,1.57,,2.12,2.38,,2.65,2.83,
Mar-55,,,,1.59,,2.26,2.48,,2.68,2.84,
Apr-55,,,,1.75,,2.37,2.55,,2.75,2.85,
May-55,,,,1.90,,2.37,2.56,,2.76,2.87,
Jun-55,,,,1.91,,2.39,2.59,,2.78,2.86,
Jul-55,,,,2.02,,2.51,2.72,,2.90,2.94,
Aug-55,,,,2.37,,2.72,2.86,,2.97,3.01,
Sep-55,,,,2.36,,2.69,2.85,,2.97,3.00,
Oct-55,,,,2.39,,2.62,2.76,,2.88,2.93,
Nov-55,,,,2.48,,2.73,2.81,,2.89,2.93,
Dec-55,,,,2.73,,2.88,2.93,,2.96,2.98,
Jan-56,,,,2.58,,2.78,2.84,,2.90,2.94,
Feb-56,,,,2.49,,2.67,2.74,,2.84,2.91,
Mar-56,,,,2.61,,2.89,2.93,,2.96,2.99,
Apr-56,,,,2.92,,3.19,3.20,,3.18,3.14,
May-56,,,,2.94,,3.08,3.08,,3.07,3.06,
Jun-56,,,,2.74,,2.95,2.97,,3.00,3.00,
Jul-56,,,,2.76,,3.06,3.12,,3.11,3.08,
Aug-56,,,,3.10,,3.39,3.41,,3.33,3.22,
Sep-56,,,,3.35,,3.50,3.47,,3.38,3.28,
Oct-56,,,,3.28,,3.40,3.40,,3.34,3.26,
Nov-56,,,,3.44,,3.57,3.56,,3.49,3.37,
Dec-56,,,,3.68,,3.76,3.70,,3.59,3.45,
Jan-57,,,,3.37,,3.46,3.47,,3.46,3.41,
Feb-57,,,,3.38,,3.42,3.39,,3.34,3.30,
Mar-57,,,,3.42,,3.47,3.46,,3.41,3.32,
Apr-57,,,,3.49,,3.53,3.53,,3.48,3.40,
May-57,,,,3.48,,3.61,3.64,,3.60,3.49,
Jun-57,,,,3.65,,3.80,3.83,,3.80,3.65,
Jul-57,,,,3.81,,3.96,4.00,,3.93,3.72,
Aug-57,,,,4.01,,4.02,4.00,,3.93,3.75,
Sep-57,,,,4.07,,4.06,4.03,,3.92,3.73,
Oct-57,,,,4.01,,4.09,4.08,,3.97,3.76,
Nov-57,,,,3.57,,3.70,3.72,,3.72,3.61,
Dec-57,,,,3.18,,3.11,3.08,,3.21,3.38,
Jan-58,,,,2.65,,2.78,2.88,,3.09,3.27,
Feb-58,,,,1.99,,2.58,2.78,,3.05,3.31,
Mar-58,,,,1.84,,2.40,2.64,,2.98,3.29,
Apr-58,,,,1.45,,2.15,2.46,,2.88,3.17,
May-58,,,,1.37,,2.07,2.41,,2.92,3.17,
Jun-58,,,,1.23,,2.08,2.46,,2.97,3.23,
Jul-58,,,,1.61,,2.42,2.77,,3.20,3.39,
Aug-58,,,,2.50,,3.06,3.29,,3.54,3.65,
Sep-58,,,,3.05,,3.52,3.69,,3.76,3.80,
Oct-58,,,,3.19,,3.67,3.78,,3.80,3.81,
Nov-58,,,,3.10,,3.60,3.70,,3.74,3.76,
Dec-58,,,,3.29,,3.72,3.82,,3.86,3.86,
Jan-59,,,,3.36,,3.91,4.01,,4.02,3.95,
Feb-59,,,,3.54,,3.92,3.96,,3.96,3.96,
Mar-59,,,,3.61,,3.97,3.99,,3.99,3.99,
Apr-59,,,,3.72,,4.03,4.12,,4.12,4.06,
May-59,,,,3.96,,4.25,4.35,,4.31,4.13,
Jun-59,,,,4.07,,4.52,4.50,,4.34,4.14,
Jul-59,,,,4.39,,4.60,4.58,,4.40,4.16,
Aug-59,,,,4.42,,4.60,4.57,,4.43,4.15,
Sep-59,,,,5.00,,4.97,4.90,,4.68,4.29,
Oct-59,,,,4.80,,4.78,4.72,,4.53,4.19,
Nov-59,,,,4.81,,4.85,4.75,,4.53,4.20,
Dec-59,,,,5.14,,5.12,5.01,,4.69,4.33,
Jan-60,,,,5.03,,4.99,4.92,,4.72,4.42,
Feb-60,,,,4.66,,4.73,4.69,,4.49,4.28,
Mar-60,,,,4.02,,4.29,4.31,,4.25,4.14,
Apr-60,,,,4.04,,4.27,4.29,,4.28,4.23,
May-60,,,,4.21,,4.46,4.49,,4.35,4.20,
Jun-60,,,,3.36,,4.01,4.12,,4.15,4.04,
Jul-60,,,,3.20,,3.63,3.79,,3.90,3.91,
Aug-60,,,,2.95,,3.41,3.62,,3.80,3.84,
Sep-60,,,,3.07,,3.43,3.61,,3.80,3.86,
Oct-60,,,,3.04,,3.53,3.76,,3.89,3.92,
Nov-60,,,,3.08,,3.60,3.81,,3.93,3.96,
Dec-60,,,,2.86,,3.42,3.67,,3.84,3.91,
Jan-61,,,,2.81,,3.39,3.67,,3.84,3.90,
Feb-61,,,,2.93,,3.46,3.66,,3.78,3.84,
Mar-61,,,,2.88,,3.35,3.60,,3.74,3.81,
Apr-61,,,,2.88,,3.33,3.57,,3.78,3.81,
May-61,,,,2.87,,3.23,3.47,,3.71,3.74,
Jun-61,,,,3.06,,3.63,3.81,,3.88,3.89,
Jul-61,,,,2.92,,3.59,3.84,,3.92,3.93,
Aug-61,,,,3.06,,3.76,3.96,,4.04,4.04,
Sep-61,,,,3.06,,3.73,3.90,,3.98,4.04,
Oct-61,,,,3.05,,3.62,3.80,,3.92,4.01,
Nov-61,,,,3.07,,3.61,3.82,,3.94,4.00,
Dec-61,,,,3.18,,3.72,3.91,,4.06,4.07,
Jan-62,,,,3.28,,3.76,3.94,,4.08,4.10,
Feb-62,,,,3.28,,3.69,3.89,,4.04,4.12,
Mar-62,,,,3.06,,3.45,3.68,,3.93,4.04,
Apr-62,,,,2.99,,3.38,3.60,,3.84,3.93,
May-62,,,,3.03,,3.40,3.66,,3.87,3.92,
Jun-62,,,,3.03,,3.39,3.64,,3.91,3.96,
Jul-62,,,,3.29,,3.62,3.80,,4.01,4.05,
Aug-62,,,,3.20,,3.46,3.71,,3.98,4.01,
Sep-62,,,,3.06,,3.41,3.70,,3.98,4.00,
Oct-62,,,,2.98,,3.33,3.64,,3.93,3.94,
Nov-62,,,,3.00,,3.40,3.60,,3.92,3.93,
Dec-62,,,,3.01,,3.37,3.56,,3.86,3.92,
Jan-63,,,,3.04,,3.40,3.58,,3.83,3.93,
Feb-63,,,,3.01,,3.39,3.66,,3.92,3.97,
Mar-63,,,,3.03,,3.41,3.68,,3.93,3.98,
Apr-63,,,,3.11,,3.50,3.74,,3.97,4.03,
May-63,,,,3.12,,3.54,3.72,,3.93,4.02,
Jun-63,,,,3.20,,3.61,3.81,,3.99,4.02,
Jul-63,,,,3.48,,3.76,3.89,,4.02,4.06,
Aug-63,,,,3.53,,3.77,3.89,,4.00,4.03,
Sep-63,,,,3.57,,3.82,3.96,,4.08,4.09,
Oct-63,,,,3.64,,3.87,3.97,,4.11,4.12,
Nov-63,,,,3.74,,3.95,4.01,,4.12,4.16,
Dec-63,,,,3.81,,4.01,4.04,,4.13,4.19,
Jan-64,,,,3.79,,4.04,4.07,,4.17,4.19,
Feb-64,,,,3.78,,4.00,4.03,,4.15,4.17,
Mar-64,,,,3.91,,4.12,4.14,,4.22,4.22,
Apr-64,,,,3.91,,4.15,4.15,,4.23,4.24,
May-64,,,,3.84,,4.04,4.05,,4.20,4.20,
Jun-64,,,,3.83,,4.01,4.02,,4.17,4.17,
Jul-64,,,,3.72,,3.93,4.03,,4.19,4.16,
Aug-64,,,,3.74,,3.93,4.05,,4.19,4.18,
Sep-64,,,,3.84,,4.01,4.08,,4.20,4.20,
Oct-64,,,,3.86,,4.02,4.07,,4.19,4.20,
Nov-64,,,,3.91,,4.04,4.04,,4.15,4.17,
Dec-64,,,,4.02,,4.08,4.09,,4.18,4.18,
Jan-65,,,,3.94,,4.03,4.10,,4.19,4.19,
Feb-65,,,,4.03,,4.08,4.15,,4.21,4.21,
Mar-65,,,,4.06,,4.13,4.15,,4.21,4.20,
Apr-65,,,,4.04,,4.12,4.15,,4.20,4.20,
May-65,,,,4.03,,4.11,4.15,,4.21,4.21,
Jun-65,,,,3.99,,4.08,4.15,,4.21,4.21,
Jul-65,,,,3.98,,4.09,4.15,,4.20,4.21,
Aug-65,,,,4.07,,4.16,4.20,,4.25,4.25,
Sep-65,,,,4.20,,4.24,4.25,,4.29,4.30,
Oct-65,,,,4.30,,4.33,4.34,,4.35,4.32,
Nov-65,,,,4.37,,4.45,4.46,,4.45,4.40,
Dec-65,,,,4.72,,4.79,4.72,,4.62,4.50,
Jan-66,,,,4.88,,4.90,4.86,,4.61,4.52,
Feb-66,,,,4.94,,5.02,4.98,,4.83,4.71,
Mar-66,,,,4.97,,4.97,4.92,,4.87,4.72,
Apr-66,,,,4.90,,4.89,4.83,,4.75,4.65,
May-66,,,,4.93,,5.00,4.89,,4.78,4.69,
Jun-66,,,,4.97,,5.05,4.97,,4.81,4.73,
Jul-66,,,,5.17,,5.26,5.17,,5.02,4.84,
Aug-66,,,,5.54,,5.68,5.50,,5.22,4.95,
Sep-66,,,,5.82,,5.79,5.50,,5.18,4.94,
Oct-66,,,,5.58,,5.48,5.27,,5.01,4.83,
Nov-66,,,,5.54,,5.53,5.36,,5.16,4.87,
Dec-66,,,,5.20,,5.19,5.00,,4.84,4.76,
Jan-67,,,,4.75,,4.75,4.70,,4.58,4.51,
Feb-67,,,,4.71,,4.73,4.74,,4.63,4.61,
Mar-67,,,,4.35,,4.47,4.54,,4.54,4.56,
Apr-67,,,,4.11,,4.38,4.51,,4.59,4.64,
May-67,,,,4.15,,4.61,4.75,,4.85,4.90,
Jun-67,,,,4.48,,4.89,5.01,,5.02,4.99,
Jul-67,,,,5.01,,5.06,5.23,,5.16,5.01,
Aug-67,,,,5.13,,5.23,5.31,,5.28,5.12,
Sep-67,,,,5.24,,5.41,5.40,,5.30,5.16,
Oct-67,,,,5.37,,5.52,5.57,,5.48,5.36,
Nov-67,,,,5.61,,5.71,5.78,,5.75,5.66,
Dec-67,,,,5.71,,5.71,5.75,,5.70,5.59,
Jan-68,,,,5.43,,5.53,5.54,,5.53,5.39,
Feb-68,,,,5.41,,5.61,5.59,,5.56,5.38,
Mar-68,,,,5.58,,5.80,5.76,,5.74,5.59,
Apr-68,,,,5.71,,5.75,5.69,,5.64,5.46,
May-68,,,,6.14,,6.11,6.04,,5.87,5.55,
Jun-68,,,,5.98,,5.82,5.85,,5.72,5.40,
Jul-68,,,,5.65,,5.54,5.60,,5.50,5.29,
Aug-68,,,,5.43,,5.42,5.50,,5.42,5.23,
Sep-68,,,,5.45,,5.39,5.48,,5.46,5.28,
Oct-68,,,,5.57,,5.52,5.55,,5.58,5.44,
Nov-68,,,,5.75,,5.57,5.66,,5.70,5.56,
Dec-68,,,,6.19,,6.16,6.12,,6.03,5.88,
Jan-69,,,,6.34,,6.22,6.25,,6.04,5.99,
Feb-69,,,,6.41,,6.32,6.34,,6.19,6.11,
Mar-69,,,,6.34,,6.38,6.41,,6.30,6.22,
Apr-69,,,,6.26,,6.25,6.30,,6.17,6.03,
May-69,,,,6.42,,6.51,6.54,,6.32,6.11,
Jun-69,,,,7.04,,6.83,6.75,,6.57,6.28,
Jul-69,,,,7.60,,7.31,7.01,6.80,6.72,6.27,
Aug-69,,,,7.54,,7.29,7.03,6.79,6.69,6.22,
Sep-69,,,,7.82,,7.77,7.57,7.36,7.16,6.55,
Oct-69,,,,7.64,,7.57,7.51,7.24,7.10,6.49,
Nov-69,,,,7.89,,7.65,7.53,7.17,7.14,6.74,
Dec-69,,,,8.17,,8.10,7.96,7.51,7.65,6.91,
Jan-70,,,,8.10,,8.24,8.17,7.73,7.79,6.92,
Feb-70,,,,7.59,,7.79,7.82,7.51,7.24,6.67,
Mar-70,,,,6.97,,7.15,7.21,7.13,7.07,6.72,
Apr-70,,,,7.06,,7.39,7.50,7.45,7.39,6.85,
May-70,,,,7.75,,7.94,7.97,7.93,7.91,7.24,
Jun-70,,,,7.55,,7.84,7.85,7.84,7.84,7.34,
Jul-70,,,,7.10,,7.56,7.59,7.61,7.46,6.92,
Aug-70,,,,6.98,,7.46,7.57,7.59,7.53,7.07,
Sep-70,,,,6.73,,7.11,7.29,7.40,7.39,6.88,
Oct-70,,,,6.43,,6.96,7.12,7.32,7.33,6.88,
Nov-70,,,,5.51,,6.25,6.47,6.76,6.84,6.58,
Dec-70,,,,5.00,,5.75,5.95,6.23,6.39,6.28,
Jan-71,,,,4.57,,5.61,5.89,6.16,6.24,6.18,
Feb-71,,,,3.89,,5.07,5.56,5.94,6.11,6.14,
Mar-71,,,,3.69,,4.50,5.00,5.42,5.70,5.94,
Apr-71,,,,4.30,,5.22,5.65,5.87,5.83,6.00,
May-71,,,,5.04,,5.97,6.28,6.42,6.39,6.32,
Jun-71,,,,5.64,,6.32,6.53,6.65,6.52,6.38,
Jul-71,,,,6.04,,6.74,6.85,6.92,6.73,6.38,
Aug-71,,,,5.80,,6.35,6.55,6.67,6.58,6.27,
Sep-71,,,,5.41,,5.89,6.14,6.20,6.14,6.05,
Oct-71,,,,4.91,,5.56,5.93,5.98,5.93,5.92,
Nov-71,,,,4.67,,5.35,5.78,5.94,5.81,5.86,
Dec-71,,,,4.60,,5.27,5.69,5.97,5.93,6.00,
Jan-72,,,,4.28,,5.14,5.59,5.91,5.95,6.01,
Feb-72,,,,4.27,,5.25,5.69,5.99,6.08,6.06,
Mar-72,,,,4.67,,5.56,5.87,6.05,6.07,6.06,
Apr-72,,,,4.96,,5.88,6.17,6.22,6.19,6.16,
May-72,,,,4.64,,5.55,5.85,6.07,6.13,6.07,
Jun-72,,,,4.93,,5.64,5.91,6.06,6.11,6.01,
Jul-72,,,,4.96,,5.78,5.97,6.09,6.11,6.01,
Aug-72,,,,4.98,,5.79,6.02,6.19,6.21,5.94,
Sep-72,,,,5.52,,6.06,6.25,6.43,6.55,6.05,
Oct-72,,,,5.52,,6.05,6.18,6.35,6.48,6.00,
Nov-72,,,,5.27,,5.94,6.12,6.18,6.28,5.79,
Dec-72,,,,5.52,,6.01,6.16,6.20,6.36,5.96,
Jan-73,,,,5.89,,6.27,6.34,6.36,6.46,6.78,
Feb-73,,,,6.19,,6.58,6.60,6.60,6.64,6.88,
Mar-73,,,,6.85,,6.86,6.80,6.76,6.71,6.91,
Apr-73,,,,6.85,,6.78,6.67,6.67,6.67,6.86,
May-73,,,,6.89,,6.83,6.80,6.83,6.85,6.99,
Jun-73,,,,7.31,,6.84,6.69,6.81,6.90,7.06,
Jul-73,,,,8.39,,7.54,7.33,7.23,7.13,7.29,
Aug-73,,,,8.82,,7.89,7.63,7.52,7.40,7.61,
Sep-73,,,,8.31,,7.25,7.05,7.08,7.09,7.25,
Oct-73,,,,7.40,,6.81,6.77,6.78,6.79,7.18,
Nov-73,,,,7.57,,7.00,6.92,6.89,6.73,7.30,
Dec-73,,,,7.27,,6.81,6.80,6.77,6.74,7.29,
Jan-74,,,,7.42,,6.96,6.95,6.88,6.99,7.47,
Feb-74,,,,6.88,,6.76,6.82,6.92,6.96,7.46,
Mar-74,,,,7.76,,7.35,7.31,7.34,7.21,7.73,
Apr-74,,,,8.62,,8.05,7.92,7.77,7.51,8.01,
May-74,,,,8.78,,8.27,8.18,7.93,7.58,8.14,
Jun-74,,,,8.67,,8.15,8.10,7.90,7.54,8.10,
Jul-74,,,,8.80,,8.41,8.38,8.19,7.81,8.26,
Aug-74,,,,9.36,,8.66,8.63,8.41,8.04,8.60,
Sep-74,,,,8.87,,8.41,8.37,8.25,8.04,8.59,
Oct-74,,,,8.05,,8.00,7.97,7.92,7.90,8.37,
Nov-74,,,,7.66,,7.61,7.68,7.68,7.68,7.98,
Dec-74,,,,7.31,,7.24,7.31,7.38,7.43,7.91,
Jan-75,,,,6.83,,7.23,7.41,7.45,7.50,7.88,
Feb-75,,,,5.98,,6.65,7.11,7.30,7.39,7.71,
Mar-75,,,,6.11,,6.81,7.30,7.58,7.73,7.99,
Apr-75,,,,6.90,,7.76,7.99,8.10,8.23,8.36,
May-75,,,,6.39,,7.39,7.72,7.90,8.06,8.22,
Jun-75,,,,6.29,,7.17,7.51,7.69,7.86,8.04,
Jul-75,,,,7.11,,7.72,7.92,7.99,8.06,8.17,
Aug-75,,,,7.70,,8.16,8.33,8.37,8.40,8.50,
Sep-75,,,,7.75,,8.29,8.37,8.39,8.43,8.57,
Oct-75,,,,6.95,,7.81,7.97,8.06,8.14,8.35,
Nov-75,,,,6.49,,7.46,7.80,7.98,8.05,8.28,
Dec-75,,,,6.60,,7.43,7.76,7.93,8.00,8.23,
Jan-76,,,,5.81,,6.99,7.46,7.67,7.74,8.01,
Feb-76,,,,5.91,,7.06,7.45,7.72,7.79,8.03,
Mar-76,,,,6.21,,7.13,7.49,7.65,7.73,7.97,
Apr-76,,,,5.92,,6.84,7.25,7.44,7.56,7.86,
May-76,,,,6.40,,7.27,7.59,7.77,7.90,8.13,
Jun-76,,,,6.52,7.06,7.31,7.61,7.75,7.86,8.03,
Jul-76,,,,6.20,6.85,7.12,7.49,7.70,7.83,8.00,
Aug-76,,,,6.00,6.63,6.86,7.31,7.58,7.77,7.91,
Sep-76,,,,5.84,6.42,6.66,7.13,7.41,7.59,7.78,
Oct-76,,,,5.50,5.98,6.24,6.75,7.16,7.41,7.70,
Nov-76,,,,5.29,5.81,6.09,6.52,6.86,7.29,7.64,
Dec-76,,,,4.89,5.38,5.68,6.10,6.37,6.87,7.30,
Jan-77,,,,5.29,5.90,6.22,6.58,6.92,7.21,7.48,
Feb-77,,,,5.47,6.09,6.44,6.83,7.16,7.39,7.64,7.75
Mar-77,,,,5.50,6.09,6.47,6.93,7.20,7.46,7.73,7.80
Apr-77,,,,5.44,5.96,6.31,6.79,7.11,7.37,7.67,7.73
May-77,,,,5.84,6.25,6.55,6.94,7.26,7.46,7.74,7.80
Jun-77,,,,5.80,6.13,6.39,6.76,7.05,7.28,7.64,7.64
Jul-77,,,,5.94,6.27,6.51,6.84,7.12,7.33,7.60,7.64
Aug-77,,,,6.37,6.61,6.79,7.03,7.24,7.40,7.64,7.68
Sep-77,,,,6.53,6.71,6.84,7.04,7.21,7.34,7.57,7.64
Oct-77,,,,6.97,7.11,7.19,7.32,7.44,7.52,7.71,7.77
Nov-77,,,,6.95,7.14,7.22,7.34,7.46,7.58,7.76,7.85
Dec-77,,,,6.96,7.18,7.30,7.48,7.59,7.69,7.87,7.94
Jan-78,,,,7.28,7.49,7.61,7.77,7.86,7.96,8.14,8.18
Feb-78,,,,7.34,7.57,7.67,7.83,7.94,8.03,8.22,8.25
Mar-78,,,,7.31,7.58,7.70,7.86,7.95,8.04,8.21,8.23
Apr-78,,,,7.45,7.74,7.85,7.98,8.06,8.15,8.32,8.34
May-78,,,,7.82,8.01,8.07,8.18,8.25,8.35,8.44,8.43
Jun-78,,,,8.09,8.24,8.30,8.36,8.40,8.46,8.53,8.50
Jul-78,,,,8.39,8.49,8.54,8.54,8.55,8.64,8.69,8.65
